method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,b
esc,4,6,42.22,43.25,1.0300000000000011,1,-2.0,20.269666751320536,1.4430312088201198,0,43.24,0.00999999999999801,124.01560812484435,7.296417145876974,11.101242841485012,10.0
esc,4,7,54.27,54.34,0.07000000000000028,1,-2.0,34.33219470918973,0.5925567582994091,0,54.33,0.010000000000005116,124.01560812484435,6.636179606750064,13.0498,10.0
esc,4,8,60.36,61.38,1.0200000000000031,1,-2.0,18.10438884397202,1.9744775939678867,0,61.370000000000005,0.00999999999999801,124.01560812484435,6.408644558294512,14.998357158514985,9.325824107886774
esc,4,9,70.39,71.48,1.0900000000000034,1,-2.0,33.91496656876054,1.0132743939762214,0,71.47,0.010000000000005116,124.01560812484435,6.715226209427128,14.998357158514988,8.587681073301695
esc,4,10,80.48,81.59,1.1099999999999994,1,-2.0,44.05425781997103,0.7396015537348148,0,81.58,0.010000000000005116,124.01560812484435,7.419278641951724,13.049800000000001,10.0
esc,4,11,88.7,89.78,1.0799999999999983,1,-2.0,33.950904385117674,0.8691002119141729,0,89.77,0.010000000000005116,124.01560812484435,8.207,11.101242841485014,10.0
esc,4,12,97.47,98.5,1.0300000000000011,1,-2.0,22.688094186156608,1.2554264637428005,0,98.49000000000001,0.009999999999990905,124.01560812484435,8.727296511796641,11.10124284148501,10.0
esc,4,13,105.69,106.68,0.9900000000000091,1,-2.0,15.806158924186683,2.054697556399937,0,106.67,0.010000000000005116,124.01560812484435,8.748267819554185,13.049799999999998,8.587681073301699
esc,4,14,116.55,117.64,1.0900000000000034,1,-2.0,33.43260726939497,0.9766799822618282,0,117.63,0.010000000000005116,124.01560812484435,8.260566842018033,14.998357158514985,9.325824107886769
esc,4,15,125.55,126.58,1.0300000000000011,1,-2.0,13.27043289937863,3.2784419138320757,0,126.57000000000001,0.009999999999990905,124.01560812484435,7.4815658440788155,14.998357158514988,10.0
esc,4,16,141.02,142.24,1.2199999999999989,1,-2.0,23.38845692887889,1.4476623123447752,0,142.23,0.010000000000019327,124.01560812484435,6.758471862576142,13.049800000000005,10.0
esc,4,17,148.27,149.28,1.009999999999991,1,-2.0,13.212441902272175,2.4873544285471922,0,149.27,0.009999999999990905,124.01560812484435,6.413573725558072,11.101242841485014,9.127138900345683
esc,4,18,162.35,163.35,1.0,1,-2.0,22.28986464932783,1.348978091477079,0,163.34,0.009999999999990905,124.01560812484435,6.600595318465492,11.101242841485009,8.676855311580272
esc,4,19,172.8,173.91,1.1099999999999852,1,-2.0,37.95255292611229,0.9468028702218447,0,173.9,0.009999999999990905,124.01560812484435,7.236179606750065,13.049799999999998,10.0
esc,4,20,180.52,180.70000000000002,0.18000000000000682,1,-2.0,19.364288918851052,1.5486896631723255,0,180.69,0.010000000000019327,124.01560812484435,8.037041539454362,14.998357158514985,10.0
esc,4,21,188.38,188.6,0.21999999999999886,1,-2.0,22.0978004806208,1.1342069358387903,0,188.59,0.009999999999990905,124.01560812484435,8.646230484541327,14.998357158514992,10.0
esc,4,22,198.65,199.87,1.2199999999999989,1,-2.0,25.592587181023102,1.390258822845297,0,199.86,0.009999999999990905,124.01560812484435,8.792226008714165,13.049800000000001,8.533282814216223
esc,4,23,207.41,207.5,0.09000000000000341,1,-2.0,15.831204905424586,1.6160260202630354,0,207.49,0.009999999999990905,124.01560812484435,8.409956727630629,11.101242841485014,9.541109763353193
esc,4,24,216.74,217.83,1.0900000000000034,1,-2.0,32.911528885318255,0.8978396317058213,0,217.82,0.010000000000019327,124.01560812484435,7.669803147491532,11.101242841485009,10.0
esc,4,25,229.28,230.36,1.0800000000000125,1,-2.0,41.32870904878507,0.8679259670424386,0,230.35,0.010000000000019327,124.01560812484435,6.901657697249033,13.049799999999998,10.0
esc,4,26,237.75,238.77,1.0200000000000102,1,-2.0,18.467961698990134,1.8535473657326662,0,238.76,0.010000000000019327,124.01560812484435,6.447889008453118,14.998357158514985,8.949946429937985
esc,4,27,246.14000000000001,247.3,1.1599999999999966,1,-2.0,15.99737882323482,2.038399694299599,0,247.29,0.010000000000019327,124.01560812484435,6.510745450828879,14.998357158514992,8.798609763353197
esc,4,28,256.29,257.38,1.089999999999975,1,-2.0,35.51030808060441,0.8798999190641723,0,257.37,0.009999999999990905,124.01560812484435,7.0622114003125445,13.04980000000001,10.0
esc,4,29,265.2,266.36,1.160000000000025,1,-2.0,25.038340887126264,1.2031994904641579,0,266.35,0.009999999999990905,124.01560812484435,7.856494028981312,11.101242841485016,10.0
esc,4,30,272.9,272.98,0.08000000000004093,1,-2.0,32.64308723718293,0.5625285466602605,0,272.97,0.009999999999990905,124.01560812484435,8.539575153748366,11.101242841485009,9.767694819415274
esc,4,31,283.71,283.86,0.1500000000000341,1,-2.0,26.122057094505152,0.9359388648264115,0,283.85,0.009999999999990905,124.01560812484435,8.807,13.049799999999989,8.515
esc,4,32,289.68,289.8,0.12000000000000455,1,-2.0,30.92023522630717,0.7157158144239446,0,289.79,0.009999999999990905,124.01560812484435,8.539575153748364,14.998357158514985,9.767694819415242
esc,4,33,295.86,296.74,0.8799999999999955,1,-2.0,48.4472863893552,0.7090674403722801,0,296.73,0.009999999999990905,124.01560812484435,7.856494028981309,14.998357158514992,10.0
oracle,0,1,4.49,5.47,0.9799999999999995,1,-2.0,74.72830023419989,0.6501243881772258,0,5.46,0.009999999999999787,9.883667096689253,12.0,25.0,10.0
oracle,0,2,11.67,14.69,3.0199999999999996,1,-2.0,35.74664436178811,1.4646896901696316,0,14.68,0.009999999999999787,9.883667096689253,12.0,25.0,10.0
oracle,0,3,20.31,21.93,1.620000000000001,0,-0.08696076278901835,0.7607290528557071,0.9272910335493751,0,21.92,0.00999999999999801,9.883667096689253,12.0,25.0,10.0
oracle,1,1,4.49,5.62,1.13,0,-0.05029837000335856,0.4459193553004303,0.7094642828574083,0,5.61,0.009999999999999787,2.867895483005629,12.0,25.0,10.0
