method,seed,event,fell,n_win,dur,J,J_vx,J_pitch,J_roll,J_vy,mean_vx,const,V_old
noadapt,11,4,1,459,4.59,-0.0869323064600569,0.9525782291586115,0.000975439815158327,0.7156334165776653,,0.3542659339056584,-1.7561193920114921,-2.0
noadapt,11,5,1,1000,10.0,2.2276046231218114,3.614599931661662,0.001789872211153711,0.367334211260488,,-0.10992386220177335,-1.7561193920114921,-2.0
noadapt,11,6,0,1000,10.0,4.863158702727048,6.589826674285746,0.0005220246273105267,0.028929395825483806,,-0.3867099404302628,-1.7561193920114921,-0.44553460432522557
noadapt,12,1,1,1000,10.0,-0.5479141305535098,0.8552385318122407,0.03160605105714915,0.32136067858859235,,0.24687679502165627,-1.7561193920114921,-2.0
noadapt,12,2,1,1000,10.0,-0.18871131796200058,1.199797026107923,0.0012874634064037997,0.36632358453516484,,0.2874902739321796,-1.7561193920114921,-2.0
noadapt,12,3,1,991,9.91,-0.1231980946775586,1.262451513391858,0.0036237879476369813,0.3668459959944387,,0.28093016844038593,-1.7561193920114921,-2.0
noadapt,12,4,1,1000,10.0,3.6696747174772315,5.046660118936178,0.006981016114240293,0.3721529744383048,,-0.2725932326884839,-1.7561193920114921,-2.0
noadapt,12,5,1,822,8.22,-0.34404299308224573,0.9888563418059535,0.009579517627409434,0.4136405394958836,,0.3449648072961577,-1.7561193920114921,-2.0
noadapt,12,6,1,1000,10.0,5.072162623759047,6.441170242536002,0.02229522642447039,0.36481654681006653,,-0.36298111756867024,-1.7561193920114921,-2.0
noadapt,12,7,1,514,5.14,0.14074949636162604,1.2297682723325472,0.05333026801188984,0.6137703480286812,,0.2586805642450801,-1.7561193920114921,-2.0
noadapt,12,8,1,1000,10.0,-0.10444540613966868,1.3013437653973332,0.015772162940787076,0.3345580575337032,,0.17198924081894112,-1.7561193920114921,-2.0
noadapt,12,9,0,1000,10.0,-0.8785782638977503,0.8392806487274632,0.0004342736527809984,0.037826205733497625,,0.21099962207069983,-1.7561193920114921,-0.0733470566540605
noadapt,13,1,1,1000,10.0,5.864878825248184,7.273647112439835,0.013696361120654426,0.3336547436991868,,-0.4152972402762584,-1.7561193920114921,-2.0
noadapt,13,2,1,1000,10.0,-0.3186819035975721,1.0511650243087605,0.009968499164708546,0.376303964940451,,0.1918297247355519,-1.7561193920114921,-2.0
noadapt,13,3,0,1000,10.0,4.350144250620033,6.073029774672313,0.0006558278656936715,0.032578040093519875,,-0.3507511283910065,-1.7561193920114921,-0.46400041947256304
noadapt,14,1,1,1000,10.0,0.2809151959161551,1.685082691418535,0.00530193108558673,0.3466499654235254,,0.14506856242396093,-1.7561193920114921,-2.0
noadapt,14,2,1,1000,10.0,5.56297979396175,6.975160358552389,0.013705433584318623,0.3302333938365346,,-0.40063969086098394,-1.7561193920114921,-2.0
noadapt,14,3,1,1000,10.0,5.363729247324573,6.741474574148418,0.0019454836880073224,0.3764285814996404,,-0.3789862143184066,-1.7561193920114921,-2.0
noadapt,14,4,1,1000,10.0,0.9644867555702481,2.3646685030613215,0.003866797962548291,0.3520708465578705,,0.017834089118003774,-1.7561193920114921,-2.0
noadapt,14,5,0,1000,10.0,-1.007283440431503,0.7127950562502464,0.00044026268904263184,0.0356006326407001,,0.24759655691366245,-1.7561193920114921,0.015399145822797944
noadapt,15,1,1,523,5.23,0.008977943643247999,1.0860698522233758,0.032105111943220535,0.6469223714881438,,0.3277125668272011,-1.7561193920114921,-2.0
noadapt,15,2,1,1000,10.0,1.5481968921736202,2.8978465757314935,0.0015234458218209626,0.40494626263179784,,-0.05453792345085733,-1.7561193920114921,-2.0
noadapt,15,3,1,1000,10.0,-0.895940409780833,0.5059233204656259,0.014268450946911218,0.339987210818122,,0.4051710700651249,-1.7561193920114921,-2.0
noadapt,15,4,1,1000,10.0,4.101779458482719,5.518783436753121,0.0017228938895376346,0.337392519851552,,-0.2691315160295762,-1.7561193920114921,-2.0
noadapt,15,5,0,1000,10.0,4.88356431524387,6.601529519115449,0.0005696079278467753,0.037584580212065795,,-0.3906322101397202,-1.7561193920114921,-0.493246253108132
noadapt,16,1,1,1000,10.0,1.3347254553552657,2.7112635396266436,0.004074670579716734,0.3755066371603975,,-0.026705880616324593,-1.7561193920114921,-2.0
noadapt,16,2,1,1000,10.0,-0.5464714800163453,0.8469979922806773,0.014273076135132207,0.3483768435793374,,0.23437240330796438,-1.7561193920114921,-2.0
noadapt,16,3,1,1000,10.0,1.2912020504051234,2.679905757223866,0.0409233580449015,0.3264923271478478,,0.0004871932340346348,-1.7561193920114921,-2.0
noadapt,16,4,1,1000,10.0,2.348492787811568,3.7277695367916057,0.0018330496747718877,0.375009593356682,,-0.15558987415269485,-1.7561193920114921,-2.0
noadapt,16,5,1,1000,10.0,2.8861606282288865,4.283440938537891,0.004191381267209051,0.3546477004352782,,-0.20473343081031092,-1.7561193920114921,-2.0
noadapt,16,6,0,1000,10.0,0.9629493358319574,2.684362987803313,0.00045997571088425104,0.0342457643292521,,-0.05786418920495601,-1.7561193920114921,-0.47230239311829686
noadapt,17,1,1,1000,10.0,-0.2010013913558022,1.1897066651937136,0.0012747182607361987,0.36413661720124013,,0.30430433225864945,-1.7561193920114921,-2.0
noadapt,17,2,1,1000,10.0,0.3165367308486253,1.7397379256453553,0.0024244146195330977,0.3304937825952288,,0.09592077447579339,-1.7561193920114921,-2.0
noadapt,17,3,1,1000,10.0,5.155652144774626,6.544961376889903,0.014968621263391851,0.35184153863282414,,-0.37289396696175403,-1.7561193920114921,-2.0
noadapt,17,4,1,728,7.28,-0.29425427863717446,0.9739206155703234,0.031608497491472834,0.45633600031252136,,0.333950675302373,-1.7561193920114921,-2.0
noadapt,17,5,1,1000,10.0,1.3939267432537767,2.8045228450390103,0.00145414431833996,0.34406914590791887,,-0.0325547118589399,-1.7561193920114921,-2.0
noadapt,17,6,0,1000,10.0,-1.3626852418874094,0.3576044566344328,0.0004917566219888743,0.03533793686766109,,0.37509294620049854,-1.7561193920114921,0.2730602345571939
noadapt,18,1,1,952,9.52,-0.4233010562677859,0.9647778146938831,0.018349246514855314,0.3496912745349676,,0.32325016904117543,-1.7561193920114921,-2.0
noadapt,18,2,1,1000,10.0,3.653794812072078,5.074161140569939,0.01283602659855429,0.32291703691507634,,-0.26797777004029577,-1.7561193920114921,-2.0
noadapt,18,3,1,1000,10.0,-0.7158198445430333,0.6921870709493398,0.002823270987151434,0.3452892055319677,,0.30074175633245465,-1.7561193920114921,-2.0
