method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,F_FAST,STOP,b
noadapt,16,1,4.49,5.65,1.1600000000000001,1,-2.0,10.71200569278657,4.6524775399515015,0,5.64,0.010000000000000675,33.97274819327429,7.607,13.0498,52.4044,0.5,10.0
noadapt,16,2,32.730000000000004,33.94,1.2099999999999937,1,-2.0,10.499896483301976,-3.3416901752482353,0,33.93,0.00999999999999801,33.97274819327429,7.607,13.0498,52.4044,0.5,10.0
noadapt,16,3,105.5,106.73,1.230000000000004,1,-2.0,10.580744020944818,4.537510512793997,0,106.72,0.010000000000005116,33.97274819327429,7.607,13.0498,52.4044,0.5,10.0
noadapt,16,4,203.28,203.86,0.5800000000000125,1,-2.0,10.698353315720766,3.916445222784011,0,203.85,0.010000000000019327,33.97274819327429,7.607,13.0498,52.4044,0.5,10.0
noadapt,16,5,238.32,238.47,0.15000000000000568,1,-2.0,10.417479592986302,3.6026096318010303,0,238.46,0.009999999999990905,33.97274819327429,7.607,13.0498,52.4044,0.5,10.0
noadapt,16,6,275.75,276.99,1.240000000000009,0,-0.47230239311829686,3.597981720552766,4.599634793207791,0,276.98,0.009999999999990905,33.97274819327429,7.607,13.0498,52.4044,0.5,10.0
noadapt,17,1,4.49,5.72,1.2299999999999995,1,-2.0,10.505238102291838,3.6416074169525765,0,5.71,0.009999999999999787,22.17161643218084,7.607,13.0498,52.4044,0.5,10.0
noadapt,17,2,93.39,94.25,0.8599999999999994,1,-2.0,10.09422875095594,-3.6133662039063736,0,94.24,0.010000000000005116,22.17161643218084,7.607,13.0498,52.4044,0.5,10.0
noadapt,17,3,161.88,162.6,0.7199999999999989,1,-2.0,10.569382231489458,0.5800546015471895,0,162.59,0.009999999999990905,22.17161643218084,7.607,13.0498,52.4044,0.5,10.0
noadapt,17,4,206.71,207.97,1.259999999999991,1,-2.0,12.172702775360392,3.344861854313111,0,207.96,0.009999999999990905,22.17161643218084,7.607,13.0498,52.4044,0.5,10.0
noadapt,17,5,223.47,224.54,1.0699999999999932,1,-2.0,10.24139625439696,-5.393125315900431,0,224.53,0.009999999999990905,22.17161643218084,7.607,13.0498,52.4044,0.5,10.0
noadapt,17,6,286.93,288.14,1.2099999999999795,0,0.2730602345571939,3.643387147325202,5.313765194820366,0,288.13,0.009999999999990905,22.17161643218084,7.607,13.0498,52.4044,0.5,10.0
noadapt,18,1,4.49,5.96,1.4699999999999998,1,-2.0,10.521716482367612,4.070875791478958,0,5.95,0.009999999999999787,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
noadapt,18,2,21.79,23.43,1.6400000000000006,1,-2.0,10.071803342871101,2.9270504761314164,0,23.42,0.00999999999999801,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
noadapt,18,3,56.910000000000004,58.27,1.3599999999999994,1,-2.0,10.286483932930366,-2.010184907277001,0,58.26,0.010000000000005116,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
noadapt,18,4,131.09,132.43,1.3400000000000034,1,-2.0,10.177918611496894,5.028451591314388,0,132.42000000000002,0.009999999999990905,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
noadapt,18,5,151.62,153.09,1.4699999999999989,1,-2.0,10.233710391590504,-3.772113202936289,0,153.08,0.009999999999990905,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
