seed,keep_CoT,keep_J,keep_J_track,keep_dist,keep_fell,keep_mean_vx,keep_rms_pitch,keep_rms_roll,keep_t_fall,prefix_gap,reason,switch_CoT,switch_J,switch_J_track,switch_dist,switch_fast_CoT,switch_fast_J,switch_fast_J_track,switch_fast_dist,switch_fast_fell,switch_fast_mean_vx,switch_fast_rms_pitch,switch_fast_rms_roll,switch_fast_t_fall,switch_fell,switch_mean_vx,switch_rms_pitch,switch_rms_roll,switch_t_fall,valid,y10
29,1.6908759356179701,7.133907428822692,7.979345396631677,4.5793585809394335,False,0.4579358580939436,0.926516979792581,10.222016200213531,nan,0.0,,2.0801537024480883,6.769649579649831,7.809726430873875,4.77025451415751,3.135811313972014,4.9205834575159475,6.488489114501954,5.282148885824683,False,0.5282148885824692,5.352024273250245,10.851466110186875,nan,False,0.477025451415753,1.6292064549590022,10.247712585786823,nan,1,5.129332235312763
30,2.0158224580583983,5.708470642672222,6.716381871701421,4.157000376262755,False,0.4157000376262767,4.478441452585094,10.119160131095901,nan,0.0,,2.066997676756762,6.787717348967019,7.821216187345399,4.798914689234997,2.4874787163973306,4.3588175773994395,5.602556935598105,6.457696564532967,False,0.6457696564532969,1.5020001012760789,10.660694805740244,nan,False,0.4798914689235001,1.1942936745266506,10.378509899182493,nan,1,5.150839776588432
31,2.791937236960147,-50.0,2.9183777016858,1.8921252095685395,True,0.29750396376863836,14.617369798367736,11.448689844051279,16.35,0.0,,2.0295199748721213,7.064242453148917,8.079002440584977,4.861650234071657,2.833348844964689,4.8005931960377675,6.217267618520112,5.774939239556478,False,0.5774939239556484,3.6034208928229994,11.011030094749291,nan,False,0.48616502340716367,1.235002019725198,10.28597752992675,nan,1,5.1311835516651705
32,1.687301396982417,7.138472737490278,7.982123435981486,4.559173958417564,False,0.4559173958417568,1.2196384965466034,10.278612798890288,nan,0.0,,2.073544135237968,6.757163577384719,7.793935645003703,4.74855055462696,2.726803655409293,4.941215304402312,6.304617132106959,6.0424246832260495,False,0.6042424683226052,3.6925043517011193,10.680456374858304,nan,False,0.4748550554626965,2.1114812411363983,10.222922278185871,nan,1,5.134538183099468
33,1.6816271923497346,7.243589697278895,8.084403293453763,4.575115388975862,False,0.45751153889758667,1.6152846356378705,10.228048255669282,nan,0.0,,2.0810502652735856,6.818420312607842,7.858945445244635,4.816655639584896,2.5511904122799054,4.3986093825867325,5.674204588726686,6.370954170535322,False,0.6370954170535325,1.673011368051485,10.799697667164128,nan,False,0.4816655639584876,1.15357065599542,10.3378205109541,nan,1,5.136528138685327
34,1.8896923826846954,6.132403180762139,7.077249372104486,4.263451254277424,False,0.42634512542774256,4.300416384361819,10.125012847458878,nan,0.0,,2.1122400777561205,6.38973482561026,7.445854864488321,4.632245546677948,2.4725610860690344,4.371254304142019,5.607534847176536,6.501219887746293,False,0.6501219887746295,1.9561901437019662,10.604971394675946,nan,False,0.46322455466779666,2.8901274670675305,10.403755612053784,nan,1,5.107628027478135
35,1.623338363131998,7.372808731529417,8.184477913095416,4.619513805696779,False,0.4619513805696779,0.7813224942872897,10.278615518422283,nan,0.0,,1.9796829790245563,7.165913898129366,8.155755387641644,4.8606160753555985,2.4504875534667816,4.433762811928984,5.659006588662375,6.473055254318877,False,0.6473055254318889,1.466601328046037,10.68870212099488,nan,False,0.4860616075355586,1.2148326792676745,10.306804126039111,nan,1,5.105738890958148
36,1.725394279631248,7.02513483491903,7.887831974734654,4.554007052022545,False,0.45540070520225445,1.2962767192301474,10.383099478406127,nan,0.0,,2.123929186092501,6.495694893853212,7.557659486899463,4.643584763188089,2.6302930810531633,4.187070524610148,5.502217065136729,6.296188709927046,False,0.629618870992705,2.5582566712521824,10.851642637307666,nan,False,0.4643584763188082,2.809401402825582,10.396709591570467,nan,1,5.071119588297652
37,1.9118882428870378,5.821733193922433,6.777677315365952,4.157529763745858,False,0.41575297637458514,4.997002125944731,10.51456363058963,nan,0.0,,2.06192218974443,6.77500927648509,7.805970371357305,4.784238885429092,3.230275169887505,4.00588277904691,5.621020363990663,5.094435457826405,False,0.5094435457826405,8.272009082019363,10.416768460550974,nan,False,0.47842388854291074,1.7842627811629945,10.392832944944239,nan,1,5.103270836508238
38,1.9211916374674192,5.67389014129989,6.6344859600336,4.214547019927547,False,0.42145470199275537,4.404428756772675,10.502344289807192,nan,0.0,,2.013887977009863,6.935755747960968,7.9426997364659,4.857670947036768,2.585908811226798,4.796310799384474,6.089265204997873,6.2548111501856205,False,0.6254811150185631,3.6195439320523315,10.463709045407734,nan,False,0.4857670947036769,1.309332497819759,10.253621811728564,nan,1,5.1568751371436905
39,1.7146023729743236,7.095468038945111,7.952769225432272,4.574190471331382,False,0.4574190471331371,1.472708533426977,10.314946351534717,nan,0.0,,2.0237066391736716,6.987533397354098,7.999386716940934,4.851232758243179,2.5164265555551864,4.5415122041778835,5.799725481955477,6.323247171798376,False,0.6323247171798373,2.4107236793723184,10.804817117900898,nan,False,0.48512327582431797,1.7402944234895918,10.344121421436208,nan,1,5.124529154030615
40,1.7666202240136282,6.893325912918944,7.776636024925758,4.50661278866143,False,0.4506612788661432,2.0987174355726137,10.296306600139442,nan,0.0,,2.0365375483744357,6.886185484400951,7.904454258588169,4.777750471607451,2.6665171757685746,4.755261868950878,6.088520456835166,6.112954461164406,False,0.6112954461164407,3.1325834922482367,10.76203049414401,nan,False,0.4777750471607451,2.4790899705761924,10.326408659472603,nan,1,5.118163067031793
41,1.9344420572949348,5.994500415453198,6.961721444100665,4.254995882822515,False,0.42549958828225154,4.48567723513877,10.079916118630146,nan,0.0,,2.037480423743037,6.889101129346667,7.907841341218186,4.744122316220238,3.179334659941218,-50.0,3.906764204392449,3.741807846664008,True,0.5070200334233071,13.73861106579361,11.912775809470334,17.37,False,0.4744122316220238,2.749813441582522,10.284649040892207,nan,1,5.124150702826348
42,3.469348302720901,-50.0,2.204288854550217,1.2750895252476742,True,0.23310594611474855,16.915483197527625,11.805415422026892,15.46,0.0,,2.0825380003288068,6.730940399320567,7.772209399484971,4.746692286051644,2.563077015709433,4.477506903473537,5.759045411328254,6.287048106639922,False,0.6287048106639898,1.8271594804995572,10.782189957818996,nan,False,0.4746692286051668,1.7044960632445603,10.276836766835585,nan,1,5.11719620933722
43,1.6753541095621054,7.204932226646361,8.042609281427413,4.580200482157633,False,0.4580200482157637,2.1653908766467564,10.22521732473675,nan,0.0,,2.011731790272301,7.153735243993395,8.159601139129546,4.850590843583475,2.6495828836183972,4.407949125778493,5.732740567587691,6.248760522780112,False,0.624876052278011,2.1751748522251617,10.766626606425167,nan,False,0.48505908435834744,1.3527915169856224,10.325997023626615,nan,1,5.113370817896558
44,1.787930527469411,6.792184588918631,7.686149852653337,4.441603831791502,False,0.4441603831791515,2.4448797044856616,10.391000638197257,nan,0.0,,2.051670450026025,6.65789749374238,7.683732718755392,4.761260161486176,2.696856249737392,4.416983809572747,5.765411934441443,6.11427951867889,False,0.6114279518678887,2.340389047443069,11.009013204946697,nan,False,0.47612601614861794,2.173129655888143,10.411330685117719,nan,1,5.119931532628767
45,1.8300568387736216,6.4686330888605275,7.3836615082473385,4.277473237016914,False,0.4277473237016919,1.6606255726385324,10.486546545886057,nan,0.0,,1.970636750576193,7.23096851458134,8.216286889869437,4.877747200903399,2.5092335453275307,4.5683483021269735,5.822965074790739,6.436479444522754,False,0.6436479444522768,1.2397580322082122,10.655390936034197,nan,False,0.4877747200903409,1.2314255712358253,10.255171695862305,nan,1,5.127810878736851
46,2.946331220576104,-50.0,3.0533018170230104,1.9214526889858758,True,0.27968743653360595,15.358866800709933,11.162467767693972,16.86,0.0,,2.062170666091777,6.852620208901354,7.883705541947243,4.817588874498668,2.64836261930959,4.825907449311988,6.150088758966783,6.173800507629572,False,0.6173800507629544,3.000571149506899,10.819659801006882,nan,False,0.4817588874498678,1.2979428381421245,10.434219177323227,nan,1,5.118390688373508
47,1.7209265135371703,6.962215069267668,7.822678326036253,4.500882012940991,False,0.45008820129409854,1.5369092992081106,10.385845513281842,nan,0.0,,1.9971969054000787,6.969882958833628,7.968481411533667,4.809430183109509,2.5283821425615014,4.568417309802684,5.832608381083435,6.4102857049061335,False,0.6410285704906119,1.7593755983485169,10.643630658039003,nan,False,0.48094301831095154,1.7734168209248409,10.271903168108492,nan,1,5.133817498574234
48,2.924656318566066,-50.0,3.0299995323057884,1.9074074719919683,True,0.27444711827222623,15.305715679692954,11.277168000050454,16.94,0.0,,2.4882343705134695,-50.0,4.761860835168316,3.0736881995820236,2.551349859453134,4.183233743726974,5.458908673453541,6.497915468879369,False,0.6497915468879364,1.6906152608716893,10.673563483453538,nan,True,0.37529770446666866,12.387383554628249,11.669012527385267,18.18,1,5.126116197685882
49,1.718649278217329,7.090640836361775,7.94996547547044,4.549094923927968,False,0.45490949239279643,2.2327576651979126,10.26021196625641,nan,0.0,,2.030114065188539,6.84941821906401,7.864475251658279,4.777677303512008,2.824240145891332,4.466323128205052,5.878443201150718,5.894777005769211,False,0.5894777005769217,3.9580366876429136,11.13873879520163,nan,False,0.47776773035120007,2.3565051632420047,10.346495604986478,nan,1,5.120715695755007
50,1.6935431595762105,7.0405483562073545,7.8873199359954596,4.570129811785737,False,0.4570129811785726,2.0723930612950534,10.42951682975197,nan,0.0,,2.092577311821732,6.654177183423028,7.700465839333893,4.737088404112537,2.6092947931834405,4.471814759874123,5.776462156465843,6.28146076667867,False,0.6281460766678673,1.8393716837823642,10.828235008749187,nan,False,0.4737088404112534,2.5745038364570707,10.462125311517449,nan,1,4.94586191292126
51,2.1211203276943804,5.143345124923227,6.203905288770418,3.9400083908349934,False,0.39400083908349925,4.5700077341924805,10.468044746027177,nan,0.0,,2.0739157543007507,6.649924695710186,7.686882572860561,4.683866447781938,2.5922576398161663,4.564825971033985,5.860954790942068,6.235732708481883,False,0.6235732708481906,2.349880719737777,10.896021733412146,nan,False,0.4683866447781941,2.671317066266017,10.268918101995421,nan,1,5.1307835440441805
52,1.749799304260825,6.951192856990487,7.8260925091209,4.480365927608976,False,0.4480365927608985,2.482411351592809,10.198175360138459,nan,0.0,,2.077148731154611,6.353022887250258,7.391597252827564,4.632597651520743,2.690651200553879,4.509511146784897,5.854836747061836,6.192996245747675,False,0.619299624574767,2.2104499102411403,10.807202442313931,nan,False,0.46325976515207656,2.760610223464336,10.411710031445006,nan,1,5.125914835638675
53,3.034535292892242,-50.0,3.401866992880331,2.103634562576655,True,0.2656104245677593,14.720724965091286,11.228016078853937,17.91,0.0,,1.9914635254760025,7.050759562825351,8.046491325563352,4.864790732692961,2.646904849244065,4.493490096685474,5.8169425213075066,6.2261623885362,False,0.6226162388536199,2.867381117225488,10.752024855253179,nan,False,0.48647907326929746,1.5186470530494705,10.388343469221319,nan,1,5.116713702401133
